key,camera,real_image_id_str,real_image_path,true_sim_id,predicted_sim_id,best_match_sim_path,cosine_similarity,is_correct
S,cam1,0,cutout_camera1_0000_20250320_174753_mask_0.png,1,1,cutout_0001_cam1_mask_0.png,0.4315,True
S,cam1,1,cutout_camera1_0001_20250320_174908_mask_0.png,1,1,cutout_0001_cam1_mask_0.png,0.4303,True
S,cam1,2,cutout_camera1_0002_20250320_175107_mask_0.png,2,2,cutout_0002_cam1_mask_0.png,0.4173,True
S,cam1,3,cutout_camera1_0003_20250320_175124_mask_0.png,2,2,cutout_0002_cam1_mask_0.png,0.4291,True
S,cam1,4,cutout_camera1_0004_20250320_175137_mask_0.png,2,2,cutout_0002_cam1_mask_0.png,0.4268,True
S,cam1,5,cutout_camera1_0005_20250320_175154_mask_0.png,5,2,cutout_0002_cam1_mask_0.png,0.3870,False
S,cam1,6,cutout_camera1_0006_20250320_175205_mask_0.png,6,6,cutout_0006_cam1_mask_0.png,0.3761,True
S,cam1,7,cutout_camera1_0007_20250320_175218_mask_0.png,7,8,cutout_0008_cam1_mask_0.png,0.3452,False
S,cam1,8,cutout_camera1_0008_20250320_175231_mask_0.png,8,8,cutout_0008_cam1_mask_0.png,0.3561,True
S,cam1,9,cutout_camera1_0009_20250320_175247_mask_0.png,7,8,cutout_0008_cam1_mask_0.png,0.3335,False
S,cam1,10,cutout_camera1_0010_20250320_175302_mask_0.png,0,0,cutout_0000_cam1_mask_0.png,0.3396,True
S,cam2,0,cutout_camera2_0000_20250320_174753_mask_0.png,1,1,cutout_0001_cam2_mask_0.png,0.3352,True
S,cam2,1,cutout_camera2_0001_20250320_174908_mask_0.png,1,1,cutout_0001_cam2_mask_0.png,0.5564,True
S,cam2,2,cutout_camera2_0002_20250320_175107_mask_0.png,2,2,cutout_0002_cam2_mask_0.png,0.5668,True
S,cam2,3,cutout_camera2_0003_20250320_175124_mask_0.png,2,2,cutout_0002_cam2_mask_0.png,0.5475,True
S,cam2,4,cutout_camera2_0004_20250320_175137_mask_0.png,2,2,cutout_0002_cam2_mask_0.png,0.5531,True
S,cam2,5,cutout_camera2_0005_20250320_175154_mask_0.png,5,5,cutout_0005_cam2_mask_0.png,0.5642,True
S,cam2,6,cutout_camera2_0006_20250320_175205_mask_0.png,6,8,cutout_0008_cam2_mask_0.png,0.5499,False
S,cam2,7,cutout_camera2_0007_20250320_175218_mask_0.png,7,8,cutout_0008_cam2_mask_0.png,0.5681,False
S,cam2,8,cutout_camera2_0008_20250320_175231_mask_0.png,8,0,cutout_0000_cam2_mask_0.png,0.5741,False
S,cam2,9,cutout_camera2_0009_20250320_175247_mask_0.png,7,8,cutout_0008_cam2_mask_0.png,0.5499,False
S,cam2,10,cutout_camera2_0010_20250320_175302_mask_0.png,0,0,cutout_0000_cam2_mask_0.png,0.5704,True
R,cam1,11,cutout_camera1_0011_20250320_175401_mask_0.png,11,11,cutout_0011_cam1_mask_0.png,0.5128,True
R,cam1,12,cutout_camera1_0012_20250320_175416_mask_0.png,12,12,cutout_0012_cam1_mask_0.png,0.5268,True
R,cam1,13,cutout_camera1_0013_20250320_175453_mask_0.png,13,12,cutout_0012_cam1_mask_0.png,0.5394,False
R,cam1,14,cutout_camera1_0014_20250320_175507_mask_0.png,13,12,cutout_0012_cam1_mask_0.png,0.5405,False
R,cam1,15,cutout_camera1_0015_20250320_175542_mask_0.png,13,12,cutout_0012_cam1_mask_0.png,0.5314,False
R,cam1,16,cutout_camera1_0016_20250320_175556_mask_0.png,13,12,cutout_0012_cam1_mask_0.png,0.5543,False
R,cam1,17,cutout_camera1_0017_20250320_175611_mask_0.png,17,17,cutout_0017_cam1_mask_0.png,0.5525,True
R,cam1,19,cutout_camera1_0019_20250320_175651_mask_0.png,18,17,cutout_0017_cam1_mask_0.png,0.5863,False
R,cam2,11,cutout_camera2_0011_20250320_175401_mask_0.png,11,11,cutout_0011_cam2_mask_0.png,0.4457,True
R,cam2,12,cutout_camera2_0012_20250320_175416_mask_0.png,12,13,cutout_0013_cam2_mask_0.png,0.4523,False
R,cam2,13,cutout_camera2_0013_20250320_175453_mask_0.png,13,13,cutout_0013_cam2_mask_0.png,0.4568,True
R,cam2,14,cutout_camera2_0014_20250320_175507_mask_0.png,13,13,cutout_0013_cam2_mask_0.png,0.4540,True
R,cam2,15,cutout_camera2_0015_20250320_175542_mask_0.png,13,13,cutout_0013_cam2_mask_0.png,0.4581,True
R,cam2,16,cutout_camera2_0016_20250320_175556_mask_0.png,13,13,cutout_0013_cam2_mask_0.png,0.4631,True
R,cam2,17,cutout_camera2_0017_20250320_175611_mask_0.png,17,17,cutout_0017_cam2_mask_0.png,0.4821,True
R,cam2,19,cutout_camera2_0019_20250320_175651_mask_0.png,18,18,cutout_0018_cam2_mask_0.png,0.5374,True
stairs_branched,cam1,20,cutout_camera1_0020_20250320_175905_mask_0.png,20,20,cutout_0020_cam1_mask_0.png,0.4139,True
stairs_branched,cam1,21,cutout_camera1_0021_20250320_175920_mask_0.png,24,24,cutout_0024_cam1_mask_0.png,0.5388,True
stairs_branched,cam1,22,cutout_camera1_0022_20250320_175929_mask_0.png,23,20,cutout_0020_cam1_mask_0.png,0.4380,False
stairs_branched,cam1,23,cutout_camera1_0023_20250320_175952_mask_0.png,23,20,cutout_0020_cam1_mask_0.png,0.4361,False
stairs_branched,cam1,24,cutout_camera1_0024_20250320_180012_mask_0.png,24,24,cutout_0024_cam1_mask_0.png,0.5880,True
stairs_branched,cam1,25,cutout_camera1_0025_20250320_180040_mask_0.png,24,23,cutout_0023_cam1_mask_0.png,0.4574,False
stairs_branched,cam1,26,cutout_camera1_0026_20250320_180051_mask_0.png,28,20,cutout_0020_cam1_mask_0.png,0.4624,False
stairs_branched,cam1,27,cutout_camera1_0027_20250320_180100_mask_0.png,27,23,cutout_0023_cam1_mask_0.png,0.4488,False
stairs_branched,cam1,28,cutout_camera1_0028_20250320_180109_mask_0.png,28,24,cutout_0024_cam1_mask_0.png,0.5657,False
stairs_branched,cam1,29,cutout_camera1_0029_20250320_180159_mask_0.png,29,20,cutout_0020_cam1_mask_0.png,0.4739,False
stairs_branched,cam2,20,cutout_camera2_0020_20250320_175905_mask_0.png,20,20,cutout_0020_cam2_mask_0.png,0.5893,True
stairs_branched,cam2,21,cutout_camera2_0021_20250320_175920_mask_0.png,24,28,cutout_0028_cam2_mask_0.png,0.3594,False
stairs_branched,cam2,22,cutout_camera2_0022_20250320_175929_mask_0.png,23,23,cutout_0023_cam2_mask_0.png,0.5800,True
stairs_branched,cam2,23,cutout_camera2_0023_20250320_175952_mask_0.png,23,23,cutout_0023_cam2_mask_0.png,0.5689,True
stairs_branched,cam2,24,cutout_camera2_0024_20250320_180012_mask_0.png,24,24,cutout_0024_cam2_mask_0.png,0.5883,True
stairs_branched,cam2,25,cutout_camera2_0025_20250320_180040_mask_0.png,24,27,cutout_0027_cam2_mask_0.png,0.3715,False
stairs_branched,cam2,26,cutout_camera2_0026_20250320_180051_mask_0.png,28,28,cutout_0028_cam2_mask_0.png,0.5529,True
stairs_branched,cam2,27,cutout_camera2_0027_20250320_180100_mask_0.png,27,27,cutout_0027_cam2_mask_0.png,0.3842,True
stairs_branched,cam2,28,cutout_camera2_0028_20250320_180109_mask_0.png,28,28,cutout_0028_cam2_mask_0.png,0.5494,True
stairs_branched,cam2,29,cutout_camera2_0029_20250320_180159_mask_0.png,29,20,cutout_0020_cam2_mask_0.png,0.5775,False
faucet,cam1,30,cutout_camera1_0030_20250320_180424_mask_0.png,30,43,cutout_0043_cam1_mask_0.png,0.5411,False
faucet,cam1,31,cutout_camera1_0031_20250320_180547_mask_0.png,31,44,cutout_0044_cam1_mask_0.png,0.3991,False
faucet,cam1,32,cutout_camera1_0032_20250320_180608_mask_0.png,31,44,cutout_0044_cam1_mask_0.png,0.3948,False
faucet,cam1,33,cutout_camera1_0033_20250320_180627_mask_0.png,33,44,cutout_0044_cam1_mask_0.png,0.3870,False
faucet,cam1,34,cutout_camera1_0034_20250320_180639_mask_0.png,34,43,cutout_0043_cam1_mask_0.png,0.5272,False
faucet,cam1,35,cutout_camera1_0035_20250320_180712_mask_0.png,35,44,cutout_0044_cam1_mask_0.png,0.4352,False
faucet,cam1,36,cutout_camera1_0036_20250320_180724_mask_0.png,35,30,cutout_0030_cam1_mask_0.png,0.4095,False
faucet,cam1,37,cutout_camera1_0037_20250320_180740_mask_0.png,35,44,cutout_0044_cam1_mask_0.png,0.3998,False
faucet,cam1,38,cutout_camera1_0038_20250320_180817_mask_0.png,38,43,cutout_0043_cam1_mask_0.png,0.5490,False
faucet,cam1,39,cutout_camera1_0039_20250320_180826_mask_0.png,39,43,cutout_0043_cam1_mask_0.png,0.5446,False
faucet,cam1,40,cutout_camera1_0040_20250320_180856_mask_0.png,40,44,cutout_0044_cam1_mask_0.png,0.4142,False
faucet,cam1,41,cutout_camera1_0041_20250320_180907_mask_0.png,41,43,cutout_0043_cam1_mask_0.png,0.5460,False
faucet,cam1,42,cutout_camera1_0042_20250320_180948_mask_0.png,42,44,cutout_0044_cam1_mask_0.png,0.4042,False
faucet,cam1,43,cutout_camera1_0043_20250320_181001_mask_0.png,43,44,cutout_0044_cam1_mask_0.png,0.4217,False
faucet,cam1,44,cutout_camera1_0044_20250320_181010_mask_0.png,44,44,cutout_0044_cam1_mask_0.png,0.4166,True
faucet,cam2,30,cutout_camera2_0030_20250320_180424_mask_0.png,30,43,cutout_0043_cam2_mask_0.png,0.4752,False
